Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Poland,Bytom,172306,69.6,2000,1800,1400,600,100,3.366104489
Poland,Czestochowa,228179,159.7,35800,34300,26100,9000,100,46.10415507
Poland,Dabrowa Gornicza,121802,188.7,40000,20000,10000,0,0,57.47032068
Poland,Elblag,117127,79.5,28800,30900,16000,900,0,65.39909671
Poland,Gdansk,463764,262,75600,45500,18000,4400,400,30.94246211
Poland,Gdynia,235980,135.1,52200,38700,20400,5800,300,49.62284939
Poland,Gliwice,183392,133.9,30100,23400,12800,5800,500,39.31469203
Poland,Gorzow Wielkopolski,115150,85.7,24000,14900,4300,800,0,38.21102909
Poland,Katowice,296262,165,56400,35800,15300,4300,400,37.73686804
Poland,Kielce,197704,109.7,50000,50000,20000,0,0,60.69679926
Poland,Koszalin,102034,98.3,27400,23700,13200,3100,0,66.05641257
Poland,Krakow,766739,326.8,97900,103800,72800,31300,7200,39.88319363
Poland,Legnica,100718,56.3,24400,22200,11600,10000,2100,67.71381481
Poland,Lodz,701410,293.2,99300,66300,37400,24300,6900,32.40615332
Poland,Lublin,340200,147,48200,57400,40800,19400,3400,48.73603762
Poland,Olsztyn,176457,88,400,300,100,0,0,0.453368243
Poland,Opole,127792,148.8,38800,21100,15800,6400,500,64.24502316
Poland,Plock,119624,88.2,35200,35500,15300,4100,0,75.31933391
Poland,Poz0n,509436,263.2,79100,45500,21300,6300,1000,29.87617679
Poland,Radom,215653,111.8,29800,18500,7700,2100,100,26.94142906
Poland,Ruda Slaska,134400,77.7,34500,23000,18900,4300,200,60.04464286
Poland,Rybnik,132645,148.3,33100,22400,16000,6700,800,58.95435184
Poland,Rzeszow,188300,120.4,60000,44000,0,0,0,55.23101434
Poland,Sosnowiec,219300,91,91000,46000,19100,6300,600,74.05380757
Poland,Torun,185459,115.8,42900,25000,9400,1700,0,42.59701605
Poland,Tychy,129449,81.81,16400,11900,5500,800,100,26.72867307
Poland,Walbrzych,117900,85,4600,3700,6400,8900,100,20.01696353
Poland,Warsaw,1753977,517.2,326200,271700,136900,29700,1500,43.58666049
Poland,Wloclawek,108841,72.9,21500,12300,2800,200,0,33.81078821
Poland,Wroclaw,631377,292.8,146400,99600,50600,14000,1200,49.19406314
Poland,Zabrze,177000,80.4,68900,43600,22600,8900,800,81.3559322
Poland,Zielo0 Gora,139330,278.8,25900,23600,13600,5400,100,49.16385559
Portugal,Amadora,175136,23.8,25600,24100,19800,8900,1300,44.76521104
Portugal,Lisbon,547733,84.62,86900,79200,57300,18200,1900,44.10908234
Portugal,Matosinhos,175478,61.91,25600,10900,9400,8900,2400,31.22898597
Portugal,Odivelas,144549,26.62,18400,22800,16600,2600,0,41.7851386
Portugal,Oeiras,172120,45.85,27800,15700,9400,800,0,31.19916337
Portugal,Porto,237591,41.52,10600,8800,7900,6200,4000,14.09986068
Romania,Arad,179230,4106,16000,8700,3800,1600,0,16.79406349
Romania,Bacau,197003,3880,34900,36700,36600,19500,1700,64.8213479
Romania,Baia Mare,147425,3564,17000,16500,14600,1600,100,33.71205698
Romania,Botosani,121793,1950,14100,12300,6800,1900,100,28.81939028
Romania,Braila,208201,3674,6300,15600,15100,6400,1000,20.8452409
Romania,Brasov,290167,11056,24600,16400,9500,1200,100,17.81732588
Romania,Bucharest,2106144,24190,470000,307800,153400,50200,600,46.59700381
Romania,Buzau,134498,4720,31000,19600,14100,8600,5500,54.49895166
Romania,Cluj-0poca,321687,10472,73000,76200,41600,10200,400,62.48309692
Romania,Constanta,316777,6042,70000,44700,28600,7800,300,47.69917008
Romania,Craiova,304089,7063,54100,56200,70400,21800,3500,66.59234632
Romania,Galati,305093,6452,0,0,0,0,0,0
Romania,Iasi,362142,6924,63300,49600,33500,13700,500,44.20917762
Romania,Oradea,196367,8182,45900,28100,19300,5200,1200,50.16117779
Romania,Pitesti,175653,2812,31100,28800,33900,29900,4100,70.42293613
Romania,Ploiesti,231491,5412,47600,28900,23600,5800,800,45.74691889
Romania,Sibiu,169317,5007,22000,32200,30900,23400,8300,64.08098419
Romania,Targu Mures,149543,3266,0,0,0,0,0,0
Romania,Timisoara,331988,7600,51100,45200,44200,21500,5100,48.79694447
Romania,Satu Mare,121128,4186,4600,5100,3500,500,0,11.31034938
Slovakia,Bratislava,493734,444.42,112600,97100,57200,18700,9000,57.84491244
Slovakia,Kosicka,226192,113.3,0,0,0,0,0,0
Slovenia,Ljublja0,274500,275,55900,49200,34900,7500,200,53.73406193
Slovenia,Maribor,106400,147.47,17700,20300,13600,3500,0,51.78571429
Spain,A Coru0,245700,38.66,17100,47900,80100,66300,26200,86.03988604
Spain,Albacete,172487,30.29,0,0,0,0,0,0
Spain,Alcala de He0res,194310,88.12,32400,76100,36800,12200,400,81.05604447
Spain,Alcobendas,115896,44.98,31000,19200,3300,500,100,46.59349762
Spain,Alcorcon,170336,33.73,0,0,0,0,0,0
Spain,Algeciras,117974,85.8,0,0,0,0,0,0
Spain,Alicante,332067,40,0,0,0,0,0,0
Spain,Almeria,193351,22.11,0,0,0,0,0,0
Spain,Badajoz,137144,20.46,30500,47200,39500,2800,0,87.49927084
Spain,Baix Llobregat I,478970,50,0,0,0,0,0,0
Spain,Baix Llobregat II,194791,73,0,0,0,0,0,0
Spain,Barcelones I,1637772,105.2,0,0,0,0,0,0
Spain,Barcelones II,335948,28.2,0,0,0,0,0,0
Spain,Bilbao,345474,40.65,45200,75900,70600,18800,300,60.93077916
Spain,Burgos,174252,107.08,43900,39400,24300,2000,0,62.89741294
Spain,Cadiz,177776,11.1,0,0,0,0,0,0
Spain,Cartage0,151887,22.7,18400,14700,10100,1600,0,29.49561187
Spain,Castellon de la Pla0,173841,43.48,0,0,0,0,0,0
Spain,Cordoba,328041,30.94,0,0,0,0,0,0
Spain,Dos Herma0s,130369,160.52,0,0,0,0,0,0
Spain,Elche,228647,29.41,0,0,0,0,0,0
Spain,Fuenlabrada,204838,36.75,68400,32000,4200,100,0,51.11356291
Spain,Getafe,183764,78.69,57100,50600,21000,2300,100,71.28708561
Spain,Gijon,275735,182,0,0,0,0,0,0
Spain,Girones,127330,46,0,0,0,0,0,0
Spain,Gra0da,258750,88.02,86000,81800,33300,9700,1200,81.46859903
Spain,Huelva,147212,151.33,47500,51900,25500,100,0,84.91155612
Spain,Jaen,115837,424.3,0,0,0,0,0,0
Spain,Jerez de la Frontera,212876,43.68,49700,62100,34700,9300,1400,73.18814709
Spain,Las Palmas de Gran Ca0ria,382283,101,0,0,0,0,0,0
Spain,Leganes,186696,43.09,0,0,0,0,0,0
Spain,Leon,129884,39,18200,34200,29200,7400,100,68.52268178
Spain,Lleida,138144,211.7,44500,46500,14500,7900,0,82.08825573
Spain,Logrono,151962,20,0,0,0,0,0,0
Spain,Madrid,3165883,604,577000,445100,147100,27700,1200,37.80619814
