Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
Iceland,Reykjavik,126041,274.00,17900,11600,4600,1300,100,,,,,,,,,,,,,,,,,,,,,,
Iceland,Selfoss,8995,158.00,200,200,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Iceland,Seltjarnarnes,4575,2.00,100,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,
Ireland,Cork,190900,186.00,29200,19300,19000,2200,0,,,,,,,,,,,,,,,,,,,,,,
Ireland,Dublin,1308900,936.00,291500,127900,139600,53200,4500,,,,,,,,,,,,,,,,,,,,,,
Italy,Andria,100440,399.54,18500,49000,22000,1900,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Bari,326344,116.67,70000,100100,64800,17600,200,,,,,,,,,,,,,,,,,,,,,,
Italy,Bergamo,120262,39.6,21900,16100,14000,6200,1100,,,,,,,,,,,,,,,,,,,,,,
Italy,Bologna,492507,274.66,103800,86300,66300,55300,9300,,,,,,,,,,,,,,,,,,,,,,
Italy,Bolzano,106110,52.33,12800,5200,9200,5200,100,,,,,,,,,,,,,,,,,,,,,,
Italy,Brescia,197956,90.68,55900,44300,26700,5400,200,,,,,,,,,,,,,,,,,,,,,,
Italy,Cagliari,342800,225,43300,98000,124000,63600,2700,,,,,,,,,,,,,,,,,,,,,,
Italy,Catania,293902,182,48200,45600,74500,33800,900,,,,,,,,,,,,,,,,,,,,,,
Italy,Ferrara,133682,404.64,21100,22000,11500,2500,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Florence,355798,102.27,86000,51800,70700,18700,1300,,,,,,,,,,,,,,,,,,,,,,
Italy,Foggia,151991,505.70,33900,42300,31000,5900,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Forli,118295,228.00,23100,25000,11200,700,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Genoa,594733,243.00,32800,27400,16600,11100,2300,,,,,,,,,,,,,,,,,,,,,,
Italy,Latina,117892,277.00,13400,20200,23200,13300,300,,,,,,,,,,,,,,,,,,,,,,
Italy,Livorno,157825,101.98,14900,50800,53000,31300,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Modena,185000,183.49,45300,31900,34500,7400,400,,,,,,,,,,,,,,,,,,,,,,
Italy,Naples,1004500,117.27,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Italy,Palermo,673581,77.40,114100,96000,73800,43000,7400,,,,,,,,,,,,,,,,,,,,,,
Italy,Parma,190500,261.00,113300,54300,5500,100,0,,,,,,,,,,,,,,,,,,,,,,
Italy,Piacenza,102355,118.46,42400,16900,14300,4300,100,,,,,,,,,,,,,,,,,,,,,,
Italy,Prato,193325,97.45,52600,60900,29800,3800,100,,,,,,,,,,,,,,,,,,,,,,
Italy,Ravenna,159057,653.00,36300,35500,20600,2900,400,,,,,,,,,,,,,,,,,,,,,,
Italy,Reggio Emilia,172600,231.56,29100,28100,15900,4200,200,,,,,,,,,,,,,,,,,,,,,,
Italy,Rimini,147346,135.27,28800,24800,16000,4000,1400,,,,,,,,,,,,,,,,,,,,,,
Italy,Rome,2876614,1286.18,478600,534800,424500,176900,47200,,,,,,,,,,,,,,,,,,,,,,
Italy,Salerno,132608,59.00,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
